❓ 미니 MNIST 과제
훈련 데이터 : (1437, 64)
테스트 데이터 : (360, 64)
클래스 수 : 10개 (0-9 숫자)

W1 형태: (64, 128)
W2 형태: (128, 10)
[  1/300] loss=2.4058 | train=9.95% | test=7.78%
[154/300] loss=1.2599 | train=87.82% | test=87.50%
[155/300] loss=1.2526 | train=87.82% | test=87.50%
[156/300] loss=1.2453 | train=87.89% | test=87.78%
[157/300] loss=1.2381 | train=88.03% | test=87.78%
[158/300] loss=1.2309 | train=88.03% | test=87.78%
[159/300] loss=1.2238 | train=88.03% | test=87.78%
[160/300] loss=1.2167 | train=88.03% | test=87.78%
[161/300] loss=1.2096 | train=88.03% | test=87.78%
[162/300] loss=1.2026 | train=88.03% | test=87.78%
[163/300] loss=1.1956 | train=88.03% | test=88.06%
[164/300] loss=1.1887 | train=88.03% | test=88.06%
[165/300] loss=1.1818 | train=88.03% | test=88.06%
[166/300] loss=1.1749 | train=88.10% | test=88.06%
[167/300] loss=1.1681 | train=88.10% | test=88.06%
[168/300] loss=1.1614 | train=88.17% | test=88.06%
[169/300] loss=1.1546 | train=88.31% | test=88.06%
[170/300] loss=1.1480 | train=88.38% | test=87.78%
[171/300] loss=1.1413 | train=88.38% | test=87.78%
[172/300] loss=1.1347 | train=88.38% | test=87.78%
[173/300] loss=1.1282 | train=88.38% | test=88.06%
[174/300] loss=1.1217 | train=88.52% | test=88.06%
[175/300] loss=1.1152 | train=88.52% | test=88.06%
[176/300] loss=1.1088 | train=88.66% | test=88.33%
[177/300] loss=1.1024 | train=88.66% | test=88.33%
[178/300] loss=1.0961 | train=88.73% | test=88.33%
[179/300] loss=1.0898 | train=88.80% | test=88.33%
[180/300] loss=1.0835 | train=88.87% | test=88.33%
[181/300] loss=1.0773 | train=88.94% | test=88.61%
[182/300] loss=1.0712 | train=88.94% | test=88.61%
[183/300] loss=1.0651 | train=89.07% | test=88.61%
[184/300] loss=1.0590 | train=89.07% | test=88.61%
[185/300] loss=1.0530 | train=89.07% | test=88.61%
[186/300] loss=1.0470 | train=89.07% | test=88.89%
[187/300] loss=1.0411 | train=89.07% | test=89.17%
[188/300] loss=1.0352 | train=89.14% | test=89.17%
[189/300] loss=1.0293 | train=89.14% | test=89.17%
[190/300] loss=1.0235 | train=89.14% | test=89.44%
[191/300] loss=1.0178 | train=89.14% | test=89.44%
[192/300] loss=1.0121 | train=89.14% | test=89.44%
[193/300] loss=1.0064 | train=89.21% | test=89.17%
[194/300] loss=1.0008 | train=89.28% | test=89.17%
[195/300] loss=0.9952 | train=89.35% | test=89.17%
[196/300] loss=0.9897 | train=89.42% | test=89.17%
[197/300] loss=0.9842 | train=89.49% | test=89.17%
[198/300] loss=0.9787 | train=89.49% | test=89.17%
[199/300] loss=0.9733 | train=89.56% | test=89.44%
[200/300] loss=0.9679 | train=89.63% | test=89.44%
[201/300] loss=0.9626 | train=89.63% | test=89.44%
[202/300] loss=0.9573 | train=89.70% | test=89.44%
[203/300] loss=0.9521 | train=89.70% | test=89.44%
[204/300] loss=0.9469 | train=89.84% | test=89.44%
[205/300] loss=0.9417 | train=89.84% | test=89.44%
[206/300] loss=0.9366 | train=89.84% | test=89.44%
[207/300] loss=0.9315 | train=89.84% | test=89.44%
[208/300] loss=0.9265 | train=89.91% | test=89.44%
[209/300] loss=0.9215 | train=89.98% | test=89.44%
[210/300] loss=0.9165 | train=90.05% | test=89.44%
[211/300] loss=0.9116 | train=90.05% | test=89.44%
[212/300] loss=0.9068 | train=90.05% | test=89.44%
[213/300] loss=0.9019 | train=90.05% | test=89.44%
[214/300] loss=0.8971 | train=90.05% | test=89.44%
[215/300] loss=0.8924 | train=90.12% | test=89.44%
[216/300] loss=0.8877 | train=90.12% | test=89.44%
[217/300] loss=0.8830 | train=90.12% | test=89.17%
[218/300] loss=0.8784 | train=90.12% | test=89.17%
[219/300] loss=0.8738 | train=90.12% | test=89.17%
[220/300] loss=0.8692 | train=90.19% | test=89.17%
[221/300] loss=0.8647 | train=90.12% | test=89.17%
[222/300] loss=0.8602 | train=90.19% | test=89.17%
[223/300] loss=0.8557 | train=90.26% | test=89.17%
[224/300] loss=0.8513 | train=90.33% | test=89.17%
[225/300] loss=0.8470 | train=90.40% | test=89.17%
[226/300] loss=0.8426 | train=90.40% | test=89.17%
[227/300] loss=0.8383 | train=90.47% | test=89.17%
[228/300] loss=0.8341 | train=90.47% | test=89.17%
[229/300] loss=0.8298 | train=90.47% | test=89.17%
[230/300] loss=0.8256 | train=90.47% | test=89.17%
[231/300] loss=0.8215 | train=90.47% | test=89.44%
[232/300] loss=0.8174 | train=90.54% | test=89.44%
[233/300] loss=0.8133 | train=90.61% | test=89.44%
[234/300] loss=0.8092 | train=90.61% | test=89.44%
[235/300] loss=0.8052 | train=90.61% | test=89.44%
[236/300] loss=0.8012 | train=90.61% | test=89.72%
[237/300] loss=0.7972 | train=90.61% | test=89.72%
[238/300] loss=0.7933 | train=90.54% | test=89.72%
[239/300] loss=0.7894 | train=90.54% | test=90.00%
[240/300] loss=0.7856 | train=90.61% | test=90.00%
[241/300] loss=0.7818 | train=90.61% | test=90.00%
[242/300] loss=0.7780 | train=90.61% | test=90.00%
[243/300] loss=0.7742 | train=90.68% | test=90.00%
[244/300] loss=0.7705 | train=90.74% | test=90.00%
[245/300] loss=0.7668 | train=90.74% | test=90.28%
[246/300] loss=0.7631 | train=90.74% | test=90.56%
[247/300] loss=0.7595 | train=90.81% | test=90.56%
[248/300] loss=0.7559 | train=90.81% | test=90.56%
[249/300] loss=0.7523 | train=90.81% | test=90.56%
[250/300] loss=0.7487 | train=90.81% | test=90.56%
[251/300] loss=0.7452 | train=90.88% | test=90.56%
[252/300] loss=0.7417 | train=90.88% | test=90.56%
[253/300] loss=0.7383 | train=90.88% | test=90.56%
[254/300] loss=0.7349 | train=90.88% | test=90.56%
[255/300] loss=0.7314 | train=90.88% | test=90.56%
[256/300] loss=0.7281 | train=90.88% | test=90.56%
[257/300] loss=0.7247 | train=90.88% | test=90.56%
[258/300] loss=0.7214 | train=90.88% | test=90.56%
[259/300] loss=0.7181 | train=90.95% | test=90.56%
[260/300] loss=0.7149 | train=90.88% | test=90.56%
[261/300] loss=0.7116 | train=90.88% | test=90.56%
[262/300] loss=0.7084 | train=90.88% | test=90.56%
[263/300] loss=0.7052 | train=90.95% | test=90.56%
[264/300] loss=0.7021 | train=91.09% | test=90.56%
[265/300] loss=0.6989 | train=91.09% | test=90.56%
[266/300] loss=0.6958 | train=91.09% | test=90.56%
[267/300] loss=0.6928 | train=91.09% | test=90.56%
[268/300] loss=0.6897 | train=91.09% | test=90.56%
[269/300] loss=0.6867 | train=91.16% | test=90.56%
[270/300] loss=0.6837 | train=91.16% | test=90.56%
[271/300] loss=0.6807 | train=91.16% | test=90.56%
[272/300] loss=0.6777 | train=91.16% | test=90.56%
[273/300] loss=0.6748 | train=91.16% | test=90.56%
[274/300] loss=0.6719 | train=91.16% | test=90.56%
[275/300] loss=0.6690 | train=91.16% | test=90.56%
[276/300] loss=0.6661 | train=91.30% | test=90.56%
[277/300] loss=0.6633 | train=91.30% | test=90.56%
[278/300] loss=0.6605 | train=91.23% | test=90.83%
[279/300] loss=0.6577 | train=91.23% | test=90.83%
[280/300] loss=0.6549 | train=91.23% | test=90.83%
[281/300] loss=0.6522 | train=91.30% | test=90.83%
[282/300] loss=0.6494 | train=91.30% | test=90.83%
[283/300] loss=0.6467 | train=91.30% | test=90.83%
[284/300] loss=0.6440 | train=91.37% | test=90.83%
[285/300] loss=0.6414 | train=91.37% | test=90.83%
[286/300] loss=0.6387 | train=91.37% | test=90.83%
[287/300] loss=0.6361 | train=91.37% | test=90.83%
[288/300] loss=0.6335 | train=91.37% | test=90.83%
[289/300] loss=0.6309 | train=91.37% | test=90.83%
[290/300] loss=0.6284 | train=91.37% | test=90.83%
[291/300] loss=0.6258 | train=91.37% | test=90.83%
[292/300] loss=0.6233 | train=91.44% | test=90.83%
[293/300] loss=0.6208 | train=91.44% | test=90.83%
[294/300] loss=0.6183 | train=91.44% | test=90.83%
[295/300] loss=0.6158 | train=91.44% | test=90.83%
[296/300] loss=0.6134 | train=91.51% | test=90.83%
[297/300] loss=0.6110 | train=91.58% | test=90.83%
[298/300] loss=0.6086 | train=91.58% | test=90.83%
[299/300] loss=0.6062 | train=91.58% | test=90.83%
[300/300] loss=0.6038 | train=91.58% | test=90.83%

 🌟 구현 후 다음을 확인하세요:
- 훈련 정확도: 90% 이상
- 테스트 정확도: 85% 이상
- 각 숫자별 예측 성능

최종 결과: train=91.58% | test=90.83%
클래스 0 정확도: 96.97%
클래스 1 정확도: 82.14%
클래스 2 정확도: 93.94%
클래스 3 정확도: 94.12%
클래스 4 정확도: 95.65%
클래스 5 정확도: 87.23%
클래스 6 정확도: 97.14%
클래스 7 정확도: 94.12%
클래스 8 정확도: 80.00%
클래스 9 정확도: 85.00%

성공!!!!!
